,pearson,spearman,mi,gain,perm,r_pearson,r_spearman,r_mi,r_gain,r_perm,rank_mean
is_day_h3,0.06963637527559045,0.13109954140005853,0.0903111494242459,12925.099609375,1.889516786076258e-05,24.0,24.0,43.0,95.0,63.0,49.8
clear_sky_ghi,-0.06901618877764495,-0.10629329961744713,0.16192534868469455,15094379.43359375,0.0014514070670675523,62.0,65.5,20.0,75.0,28.0,50.1
synop_present_weather_ww,0.06420041744317821,0.08100394336150162,0.0016338744297210717,5538551.8310546875,0.0018637980259289533,25.0,26.0,99.0,79.0,27.0,51.2
synop_pressure_hpa,0.16942642639675443,0.21529199853778633,0.008180863355216506,1612202.01171875,0.00010539987190927302,13.0,17.0,87.0,82.0,58.0,51.4
is_day_h5,0.16954503036575244,0.24459142923750024,0.06492761032728822,9017.0595703125,-3.179278038982029e-07,12.0,11.0,62.0,96.0,76.0,51.4
aws_temp_delta_60m,0.033885658456214045,0.11351543168412405,0.05826561807604591,55058990.15966797,-0.0002752789786991672,33.0,25.0,70.0,48.0,85.0,52.2
aws_wind_dir_deg,-0.11334081165393922,-0.15607103367808353,0.058612215672962265,86957897.19580078,0.0014469180405332072,66.0,73.0,69.0,29.0,29.0,53.2
is_day_h4,0.1195509139281694,0.19130604577544572,0.07611350421529695,0.0,0.0,21.0,19.0,56.0,100.5,71.5,53.6
aws_wind_speed_ms,-0.17932610706586627,-0.2627038156443892,0.052203735898118,72605355.44873047,0.010624479296083048,74.0,77.0,73.0,36.0,11.0,54.2
accel_kt_20m,-0.018708845435795506,0.03888454999533116,0.061654045507861355,20813411.77734375,0.000589460272623262,50.0,39.0,65.0,71.0,46.0,54.2
kt_roll_30m_mean,-0.3189758924274459,-0.3715058596361341,0.16525178021837217,74212396.65576172,0.002330023649692703,96.0,98.0,18.0,35.0,24.0,54.2
synop_rh_pct,0.17116142265534753,0.23729142613182602,0.005469060884483401,1284166.701171875,-0.00010038716189234946,10.0,12.0,92.0,84.0,80.0,55.6
aws_rh_delta_60m,-0.03437766152343231,-0.10579142951244752,0.03368256055318053,61032218.830078125,0.0008098243520151908,55.0,62.0,81.0,41.0,41.0,56.0
kt_lag_10m,-0.3029434764215656,-0.34888988382112457,0.15269997865163365,49999975.614746094,0.0030951879765097243,94.0,97.0,22.0,50.0,22.0,57.0
is_day_h2,0.020083568255771803,0.04471610544118011,0.09539839874118616,0.0,0.0,38.0,37.0,38.0,100.5,71.5,57.0
aws_wind_speed_roll_180m_mean,-0.187061446156816,-0.28315962178560017,0.08103578242525966,105376232.76953125,0.00011126790953193873,78.0,85.0,51.0,22.0,57.0,58.6
kt_delta_20m,-0.22529862362226177,-0.13255787920681608,0.08384483318989133,41497933.032714844,0.000897793102863087,85.0,68.0,46.0,57.0,38.0,58.8
kt_lag_60m,-0.1757443338968408,-0.23572666199601042,0.0815230461131291,44283709.485839844,0.000629106357360576,73.0,76.0,50.0,53.0,44.0,59.2
aws_temp_c,-0.19429920257716368,-0.2805651191058211,0.08266378652547957,65068692.39941406,0.0003721237556540598,79.0,82.0,47.0,39.0,50.0,59.4
aws_rain_sum_180m,0.03709077106128017,0.0748457441026639,0.010943258240663889,17418530.3984375,-7.926359175654725e-05,32.0,27.0,86.0,73.0,79.0,59.4
kt_delta_10m,-0.17000127913846577,-0.07104382054378214,0.07931851643825194,25241314.200195312,0.0005561689496503819,72.0,57.0,54.0,68.0,47.0,59.6
kt_std_3h,-0.027392913496162075,-0.04967220767445027,0.0342437882055604,116739234.70117188,-0.0007844309494073146,53.0,56.0,80.0,17.0,95.0,60.2
ghi_lag_10m,-0.26057175347231093,-0.2987013550576259,0.18408562004231488,43553323.43017578,0.00017011294282809342,91.0,90.0,17.0,54.0,54.0,61.2
clear_sky_ghi_cooper,-0.06866997592553527,-0.10622325174402694,0.14587312129992114,25635778.09765625,-0.0004673738416534808,61.0,63.5,25.0,67.0,90.0,61.3
kt_delta_30m,-0.2318903453156275,-0.1437551219203867,0.08093012789435239,43245504.35498047,0.0006203928458110575,88.0,70.0,52.0,55.0,45.0,62.0
aws_rain_mm,0.017090743881075614,0.052896877964930075,0.007604340044942592,1116855.9970703125,2.1348144315203044e-05,39.0,34.0,89.0,87.0,62.0,62.2
ghi_lag_30m,-0.2152786421087946,-0.28266896381203693,0.11944350598529407,31937114.83203125,0.00019752973218423175,83.0,84.0,33.0,61.0,53.0,62.8
kt_std_1h,-0.011992827630528488,-0.022330064472808126,0.06412157682680864,16933119.755859375,-0.00014780530378536808,45.5,52.5,63.5,74.0,82.0,63.5
kt_delta_60m,-0.22688455047614176,-0.15048777351076073,0.09863390885794043,95480337.16992188,-0.0011497465474233914,87.0,72.0,36.0,24.0,100.0,63.8
aws_ghi_wm2,-0.25145944580764523,-0.2879796539759868,0.16116445337560137,77884436.49609375,-0.0006347770738596159,90.0,86.0,21.0,34.0,92.0,64.6
synop_cl,0.006995347424769274,0.0050030833076434335,0.004882484404730381,1401784.6123046875,1.532109032587048e-05,41.0,45.0,94.0,83.0,65.0,65.6
synop_cm,0.0007243580481204339,0.007453435800508897,0.004652334338079767,422425.64794921875,9.68997227857038e-05,42.0,43.0,95.0,91.0,59.0,66.0
synop_ch,-0.013059342196084657,-0.00629933112675002,0.003159277079666678,1642122.427734375,0.00011824837390150833,48.0,47.0,98.0,81.0,56.0,66.0
aws_temp_roll_180m_mean,-0.20117261642995496,-0.29751544934401153,0.09586111893333182,80738393.60644531,-0.0015590593720320085,80.0,89.0,37.0,32.0,103.0,68.2
synop_cloud_cover_oktas,-0.0072490924167880255,-0.019814066920646554,0.005516978891164648,378696.27734375,1.6324478627279444e-05,44.0,51.0,91.0,92.0,64.0,68.4
ghi_lag_20m,-0.22552178932858208,-0.2815370853426632,0.142981151247489,27567471.65673828,-0.0001714614719689663,86.0,83.0,26.0,65.0,83.0,68.6
synop_sunshine_h,0.022666799403970088,0.043489652256325076,0.004342265930165734,0.0,0.0,37.0,38.0,96.0,100.5,71.5,68.6
reflected_wm2,-0.32504988675802077,-0.3404000270258635,0.22389008572151248,56536472.35107422,-0.0006378388250543413,97.0,94.0,11.0,47.0,94.0,68.6
nett_wm2,-0.3012328949350649,-0.31396547847415796,0.24213296759624114,39643928.40966797,-0.0007905483538918068,93.0,92.0,4.0,58.0,96.0,68.6
ghi_wm2,-0.30656812316055254,-0.31993394909408807,0.2418412191520014,35420180.118652344,-0.000807298649748267,95.0,93.0,5.0,59.0,97.0,69.8
clp_cloud_present_int,-0.04110226276997785,-0.09991712329866834,0.0611918461956813,502498.9033203125,-3.151021394861194e-05,56.0,60.0,66.0,89.0,78.0,69.8
is_day_h1,-0.012795516719459984,-0.04333209900478346,0.03773442974651786,24751.80078125,-3.4372278868710637e-06,47.0,54.0,78.0,94.0,77.0,70.0
aws_temp_lag_60m,-0.18583612169590247,-0.27883157771534967,0.08162033249550671,50365355.06298828,-0.0009375978915080463,76.0,81.0,48.0,49.0,99.0,70.6
aws_temp_lag_30m,-0.1840160826704333,-0.27445876958031373,0.08157792345171888,56714090.842285156,-0.0015946331988479316,75.0,80.0,49.0,46.0,104.0,70.8
kt_roll_60m_mean,-0.2792010932359351,-0.3437064064567298,0.12337908146464471,62892209.39404297,-0.0008206482536270062,92.0,96.0,32.0,40.0,98.0,71.6
ghi_lag_60m,-0.21040698992762016,-0.29984294188708066,0.09971298151371588,29491050.688964844,-0.00046237022055717336,82.0,91.0,35.0,63.0,89.0,72.0
aws_temp_lag_10m,-0.18658045874461981,-0.2737758576690048,0.07893531658605912,43237287.16503906,-0.0006373504844213729,77.0,79.0,55.0,56.0,93.0,72.0
synop_dewpoint_c,-0.08895165317102166,-0.13785888897394122,0.005276876460225566,1278419.4125976562,0.00013793834740827293,65.0,69.0,93.0,85.0,55.0,73.4
kt_lag_30m,-0.21868763821847328,-0.2732800998764626,0.08946277205681152,32896723.515625,-0.0014488625795050503,84.0,78.0,44.0,60.0,102.0,73.6
