regime,R2
clear,0.8302052288097828
partly,0.8356084895431158
overcast,0.7992135204099339
DJF,0.9184568815705011
MAM,0.9159817586625311
JJA,0.9131180695491967
SON,0.8982119966327269
morning(6-10),0.8694065212282054
midday(10-14),0.7160121587400132
afternoon(14-18),0.9090080210497632
