hour,R2,n
6,0.6613512439462209,822
7,0.7484773113563563,2190
8,0.7539595115540256,2190
9,0.6996347204947291,2190
10,0.7188324894639453,2190
11,0.7231652195525586,2190
12,0.6886590638992409,2190
13,0.6716430491025909,2190
14,0.7148661865300526,2190
15,0.7854034952621832,2190
16,0.8256830259737875,2190
17,0.7339427482144314,1920
18,-67.56414620565471,72
