site,n_test,est_frac,SP_R2,LGBM_R2,LGBM_MAE,LGBM_skill,XGB_R2,XGB_MAE,XGB_skill,CatBoost_R2,CatBoost_MAE,CatBoost_skill,MLP_R2,MLP_MAE,MLP_skill
banten,24730,0.0007,0.5885,0.7389,94.5,0.2035,0.7382,94.9,0.2023,0.7405,94.8,0.2058,0.7378,95.0,0.2018
bengkulu,24714,0.0015,0.6841,0.8197,90.7,0.2445,0.8193,91.2,0.2437,0.8207,91.0,0.2467,0.8198,92.1,0.2447
jambi,24758,0.0628,0.5576,0.7397,100.3,0.2329,0.7395,100.3,0.2326,0.7403,100.6,0.2338,0.7371,101.4,0.2292
jogja,24750,0.0051,0.4114,0.6656,132.0,0.2462,0.6654,132.1,0.246,0.6673,132.3,0.2482,0.6657,132.3,0.2463
kalbar,24724,0.0567,0.6366,0.7806,107.2,0.2231,0.781,107.3,0.2236,0.78,108.0,0.2219,0.7806,106.5,0.2229
semarang,24730,0.0143,0.6105,0.7607,101.7,0.2162,0.7604,101.8,0.2156,0.7615,102.2,0.2175,0.7612,102.8,0.217
